,date,match_id,home_team_id,home_team_name,away_team_id,away_team_name,home_team_score,away_team_score,finished,cancelled,result,league_id,league_name
0,2022-09-07 18:45:00,4010118,8593,Ajax,8548,Rangers,4,0,True,False,Home,42,Champions League
1,2022-09-07 21:00:00,4010119,9875,Napoli,8650,Liverpool,4,1,True,False,Home,42,Champions League
2,2022-09-07 21:00:00,4010138,9906,Atletico Madrid,9773,FC Porto,2,1,True,False,Home,42,Champions League
3,2022-09-07 21:00:00,4010139,8342,Club Brugge,8178,Leverkusen,1,0,True,False,Home,42,Champions League
4,2022-09-07 21:00:00,4010163,8634,Barcelona,6033,Viktoria Plzen,5,1,True,False,Home,42,Champions League
5,2022-09-07 21:00:00,4010164,8636,Inter,9823,Bayern München,0,2,True,False,Away,42,Champions League
6,2022-09-07 18:45:00,4010181,9810,Frankfurt,9768,Sporting CP,0,3,True,False,Away,42,Champions League
7,2022-09-07 21:00:00,4010182,8586,Tottenham,8592,Marseille,2,0,True,False,Home,42,Champions League
0,2022-09-06 18:45:00,4010132,10156,Dinamo Zagreb,8455,Chelsea,1,0,True,False,Home,42,Champions League
1,2022-09-06 21:00:00,4010133,10013,Salzburg,8564,Milan,1,1,True,False,Draw,42,Champions League
2,2022-09-06 21:00:00,4010150,9925,Celtic,8633,Real Madrid,0,3,True,False,Away,42,Champions League
3,2022-09-06 21:00:00,4010151,178475,RB Leipzig,9728,Shakhtar Donetsk,1,4,True,False,Away,42,Champions League
4,2022-09-06 18:45:00,4010156,9789,Dortmund,8391,FC København,3,0,True,False,Home,42,Champions League
5,2022-09-06 21:00:00,4010157,8302,Sevilla,8456,Man City,0,4,True,False,Away,42,Champions League
6,2022-09-06 21:00:00,4010176,9772,Benfica,10185,Maccabi Haifa,2,0,True,False,Home,42,Champions League
7,2022-09-06 21:00:00,4010175,9847,PSG,9885,Juventus,2,1,True,False,Home,42,Champions League
0,2022-09-14 21:00:00,4010121,8548,Rangers,9875,Napoli,0,3,True,False,Away,42,Champions League
1,2022-09-14 18:45:00,4010205,8564,Milan,10156,Dinamo Zagreb,3,1,True,False,Home,42,Champions League
2,2022-09-14 21:00:00,4010206,8455,Chelsea,10013,Salzburg,1,1,True,False,Draw,42,Champions League
3,2022-09-14 18:45:00,4010211,9728,Shakhtar Donetsk,9925,Celtic,1,1,True,False,Draw,42,Champions League
4,2022-09-14 21:00:00,4010212,8633,Real Madrid,178475,RB Leipzig,2,0,True,False,Home,42,Champions League
5,2022-09-14 21:00:00,4010231,8391,FC København,8302,Sevilla,0,0,True,False,Draw,42,Champions League
6,2022-09-14 21:00:00,4010230,8456,Man City,9789,Dortmund,2,1,True,False,Home,42,Champions League
7,2022-09-14 21:00:00,4010237,9885,Juventus,9772,Benfica,1,2,True,False,Away,42,Champions League
8,2022-09-14 21:00:00,4010236,10185,Maccabi Haifa,9847,PSG,1,3,True,False,Away,42,Champions League
0,2022-09-13 21:00:00,4010120,8650,Liverpool,8593,Ajax,2,1,True,False,Home,42,Champions League
1,2022-09-13 21:00:00,4010140,8178,Leverkusen,9906,Atletico Madrid,2,0,True,False,Home,42,Champions League
2,2022-09-13 21:00:00,4010141,9773,FC Porto,8342,Club Brugge,0,4,True,False,Away,42,Champions League
3,2022-09-13 18:45:00,4010166,6033,Viktoria Plzen,8636,Inter,0,2,True,False,Away,42,Champions League
4,2022-09-13 21:00:00,4010165,9823,Bayern München,8634,Barcelona,2,0,True,False,Home,42,Champions League
5,2022-09-13 18:45:00,4010184,9768,Sporting CP,8586,Tottenham,2,0,True,False,Home,42,Champions League
6,2022-09-13 21:00:00,4010183,8592,Marseille,9810,Frankfurt,0,1,True,False,Away,42,Champions League
0,2022-10-04 21:00:00,4010124,8593,Ajax,9875,Napoli,1,6,True,False,Away,42,Champions League
1,2022-10-04 21:00:00,4010125,8650,Liverpool,8548,Rangers,2,0,True,False,Home,42,Champions League
2,2022-10-04 21:00:00,4010143,8342,Club Brugge,9906,Atletico Madrid,2,0,True,False,Home,42,Champions League
3,2022-10-04 21:00:00,4010142,9773,FC Porto,8178,Leverkusen,2,0,True,False,Home,42,Champions League
4,2022-10-04 18:45:00,4010167,9823,Bayern München,6033,Viktoria Plzen,5,0,True,False,Home,42,Champions League
5,2022-10-04 21:00:00,4010168,8636,Inter,8634,Barcelona,1,0,True,False,Home,42,Champions League
6,2022-10-04 19:05:00,4010185,8592,Marseille,9768,Sporting CP,4,1,True,False,Home,42,Champions League
7,2022-10-04 21:00:00,4010186,9810,Frankfurt,8586,Tottenham,0,0,True,False,Draw,42,Champions League
0,2022-10-05 18:45:00,4010134,10013,Salzburg,10156,Dinamo Zagreb,1,0,True,False,Home,42,Champions League
1,2022-10-05 21:00:00,4010135,8455,Chelsea,8564,Milan,3,0,True,False,Home,42,Champions League
