,,,,,Playing Time,,,,Starts,,,Subs,,,Team Success,,,,,,Team Success (xG),,,,,,-additional
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
Thibaut Courtois,be BEL,GK,29,36,3240,90,94.7,36.0,36,90,36,0,,1,2.36,79,29,+50,+1.39,+1.89,71.3,41.4,+29.8,+0.83,+1.95,Matches,1840e36d
Éder Militão,br BRA,DF,23,34,3031,89,88.6,33.7,34,89,32,0,,2,2.18,63,30,+33,+0.98,-2.72,62.5,41.0,+21.4,+0.64,-0.79,Matches,2784f898
Karim Benzema,fr FRA,FW,33,32,2593,81,75.8,28.8,31,83,18,1,31,1,2.44,64,23,+41,+1.42,+0.55,57.5,30.6,+26.9,+0.93,+0.86,Matches,70d74ece
Casemiro,br BRA,MF,29,32,2569,80,75.1,28.5,31,82,22,1,30,2,2.13,52,23,+29,+1.02,-1.10,51.2,34.3,+16.9,+0.59,-0.54,Matches,4d224fe8
Vinicius Júnior,br BRA,FW,21,35,2690,77,78.7,29.9,30,86,15,5,21,0,2.34,65,22,+43,+1.44,+0.70,56.6,32.9,+23.8,+0.80,+0.32,Matches,7111d552
David Alaba,at AUT,DF,29,30,2642,88,77.3,29.4,30,88,27,0,,0,2.30,60,26,+34,+1.16,-0.58,53.9,32.2,+21.7,+0.74,+0.06,Matches,05439de2
Toni Kroos,de GER,MF,31,28,2103,75,61.5,23.4,25,81,15,3,22,2,2.14,37,18,+19,+0.81,-1.24,43.3,26.6,+16.7,+0.72,-0.03,Matches,6ce1f46f
Luka Modrić,hr CRO,MF,35,28,2032,73,59.4,22.6,25,79,6,3,22,2,2.29,47,20,+27,+1.20,-0.23,43.3,26.4,+16.9,+0.75,+0.06,Matches,6025fab1
Lucas Vázquez,es ESP,DF,30,29,1833,63,53.6,20.4,20,83,11,9,20,8,2.24,39,18,+21,+1.03,-0.56,38.9,28.0,+10.9,+0.54,-0.41,Matches,fd51b456
Ferland Mendy,fr FRA,DF,26,22,1734,79,50.7,19.3,20,84,14,2,24,2,2.36,41,12,+29,+1.51,+0.44,40.4,20.5,+19.9,+1.03,+0.62,Matches,3cefcaef
Federico Valverde,uy URU,MF,23,31,1833,59,53.6,20.4,19,83,11,12,21,2,2.26,44,19,+25,+1.23,-0.13,40.0,26.3,+13.7,+0.67,-0.12,Matches,0959c2a2
Marco Asensio,es ESP,FWMF,25,31,1731,56,50.6,19.2,19,79,7,12,20,2,2.39,42,13,+29,+1.51,+0.44,41.6,24.1,+17.4,+0.91,+0.36,Matches,45af8a54
Nacho,es ESP,DF,31,28,1555,56,45.5,17.3,17,87,14,11,7,8,2.25,42,19,+23,+1.33,+0.08,37.0,27.1,+10.0,+0.58,-0.27,Matches,2946f9a1
Dani Carvajal,es ESP,DF,29,24,1551,65,45.4,17.2,17,81,9,7,25,4,2.46,37,13,+24,+1.39,+0.19,35.9,18.0,+17.9,+1.04,+0.57,Matches,4958bfb2
Rodrygo,br BRA,FW,20,33,1523,46,44.5,16.9,17,68,2,16,23,1,2.21,38,13,+25,+1.48,+0.34,33.4,24.3,+9.1,+0.54,-0.34,Matches,8f5e92a6
Eduardo Camavinga,fr FRA,MF,18,26,1236,48,36.1,13.7,13,71,6,13,24,8,2.42,33,13,+20,+1.46,+0.26,28.7,21.3,+7.4,+0.54,-0.29,Matches,7b9c2d84
Eden Hazard,be BEL,FWMF,30,18,717,40,21.0,8.0,7,74,1,11,18,11,1.89,11,10,+1,+0.13,-1.47,13.5,8.7,+4.9,+0.61,-0.15,Matches,a39bb753
Marcelo,br BRA,DF,33,12,525,44,15.4,5.8,5,82,2,7,17,12,2.25,10,0,+10,+1.71,+0.50,9.1,5.2,+3.9,+0.67,-0.07,Matches,603116a7
Jesús Vallejo,es ESP,DF,24,5,341,68,10.0,3.8,4,83,3,1,8,26,2.00,11,2,+9,+2.38,+1.21,9.2,8.1,+1.0,+0.27,-0.51,Matches,c2111b45
Gareth Bale,wls WAL,FW,32,5,280,56,8.2,3.1,4,66,0,1,17,8,2.20,5,3,+2,+0.64,-0.70,4.2,4.0,+0.2,+0.06,-0.72,Matches,a58bb1e1
Mariano,do DOM,FW,27,9,342,38,10.0,3.8,3,77,1,6,19,15,2.11,8,4,+4,+1.05,-0.26,7.6,8.0,-0.4,-0.11,-0.93,Matches,5c4dc0ff
Isco,es ESP,MFFW,29,14,331,24,9.7,3.7,3,62,0,11,13,14,2.21,11,2,+9,+2.45,+1.28,7.8,4.2,+3.6,+0.97,+0.26,Matches,a0b4bb3e
Miguel Gutiérrez,es ESP,DF,20,3,260,87,7.6,2.9,3,87,1,0,,8,3.00,12,3,+9,+3.12,+1.98,6.6,3.5,+3.1,+1.09,+0.39,Matches,7e98cff1
Dani Ceballos,es ESP,MF,24,11,276,25,8.1,3.1,2,80,1,9,13,6,2.64,8,2,+6,+1.96,+0.73,7.7,5.5,+2.2,+0.73,+0.01,Matches,c0617e2b
Andriy Lunin,ua UKR,GK,22,2,180,90,5.3,2.0,2,90,2,0,,32,0.50,1,2,-1,-0.50,-1.89,3.2,5.4,-2.2,-1.12,-1.95,Matches,3061e1ec
Luka Jović,rs SRB,FW,23,15,369,25,10.8,4.1,1,60,0,14,22,12,2.07,13,2,+11,+2.68,+1.56,10.9,5.8,+5.1,+1.25,+0.59,Matches,4d8cd038
Blanco,es ESP,MF,21,1,31,31,0.9,0.3,0,,0,1,31,14,3.00,2,0,+2,+5.81,+4.56,0.7,0.7,0.0,+0.07,-0.66,Matches,506daeac
Peter González,do DOM,MFDF,19,3,27,9,0.8,0.3,0,,0,3,9,1,2.00,1,0,+1,+3.33,+2.06,1.4,0.5,+0.9,+2.90,+2.19,Matches,1ccd3dae
Mario Gila,es ESP,DF,20,2,25,13,0.7,0.3,0,,0,2,13,1,3.00,2,0,+2,+7.20,+5.95,0.7,0.1,+0.6,+2.05,+1.33,Matches,9c435456
Sergio Santos,es ESP,DF,20,1,11,11,0.3,0.1,0,,0,1,11,0,3.00,1,0,+1,+8.18,+6.91,0.5,0.4,+0.1,+1.01,+0.28,Matches,cf59e05f
Latasa,es ESP,FW,20,1,9,9,0.3,0.1,0,,0,1,9,2,1.00,0,0,0,0.00,-1.29,0.3,0.2,+0.1,+1.09,+0.37,Matches,2bea832e
Toni Fuidias,es ESP,GK,20,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches,33d2c795
Luis López,es ESP,GK,20,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches,ccb491d0
Álvaro Odriozola,es ESP,DF,25,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,1d1691ad
Diego Piñeiro,es ESP,GK,17,0,,,,,0,,0,0,,9,,,,,,,,,,,,Matches,ef6a4afe
Rafa,es ESP,DF,19,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,3239a8ed
Squad Total,,,27.7,38,3420,90,100,38.0,418,83,256,163,19,248,2.26,80,31,+49,+1.29,,74.4,46.8,+27.6,+0.73,,,-9999
Opponent Total,,,27.6,38,3420,90,100,38.0,418,83,256,163,19,246,0.53,,,,,,46.8,74.4,-27.6,-0.73,,,-9999
